home_team,home_pos,away_team,away_pos,home_elo,away_elo,elo_diff,p_home,p_draw,p_away
Atlanta United,15,Charlotte FC,5,1383.219,1513.532,-130.313,0.336,0.25,0.414
Atlanta United,15,Chicago Fire,4,1383.219,1505.954,-122.735,0.323,0.251,0.427
Atlanta United,15,FC Cincinnati,7,1383.219,1555.362,-172.143,0.282,0.228,0.49
Atlanta United,15,Inter Miami CF,2,1383.219,1707.561,-324.342,0.189,0.274,0.536
Atlanta United,15,New York City FC,5,1383.219,1566.462,-183.243,0.31,0.262,0.427
Atlanta United,15,New York Red Bulls,7,1383.219,1471.216,-87.997,0.369,0.246,0.385
Atlanta United,15,Orlando City SC,10,1383.219,1521.057,-137.838,0.348,0.278,0.374
Atlanta United,15,Toronto FC,11,1383.219,1357.339,25.88,0.473,0.213,0.314
CF Montréal,13,Atlanta United,15,1388.008,1383.219,4.789,0.482,0.235,0.283
CF Montréal,13,Charlotte FC,5,1388.008,1513.532,-125.524,0.34,0.245,0.415
CF Montréal,13,Columbus Crew,11,1388.008,1564.766,-176.758,0.339,0.279,0.382
CF Montréal,13,DC United,7,1388.008,1348.199,39.809,0.457,0.199,0.344
CF Montréal,13,FC Cincinnati,7,1388.008,1555.362,-167.354,0.286,0.224,0.49
CF Montréal,13,Nashville SC,1,1388.008,1597.977,-209.969,0.269,0.281,0.451
Charlotte FC,5,CF Montréal,13,1513.532,1388.008,125.524,0.602,0.236,0.163
Charlotte FC,5,Chicago Fire,4,1513.532,1505.954,7.578,0.459,0.267,0.273
Charlotte FC,5,Columbus Crew,11,1513.532,1564.766,-51.234,0.465,0.296,0.238
Charlotte FC,5,DC United,7,1513.532,1348.199,165.333,0.595,0.201,0.205
Charlotte FC,5,Orlando City SC,10,1513.532,1521.057,-7.525,0.48,0.287,0.232
Chicago Fire,4,Columbus Crew,11,1505.954,1564.766,-58.812,0.479,0.291,0.23
Chicago Fire,4,Inter Miami CF,2,1505.954,1707.561,-201.607,0.309,0.321,0.37
Chicago Fire,4,New England Revolution,3,1505.954,1468.603,37.351,0.512,0.267,0.22
Chicago Fire,4,New York City FC,5,1505.954,1566.462,-60.508,0.457,0.277,0.266
Chicago Fire,4,Orlando City SC,10,1505.954,1521.057,-15.103,0.494,0.282,0.224
Chicago Fire,4,Philadelphia Union,14,1505.954,1548.589,-42.635,0.508,0.258,0.234
Columbus Crew,11,CF Montréal,13,1564.766,1388.008,176.758,0.608,0.218,0.174
Columbus Crew,11,Charlotte FC,5,1564.766,1513.532,51.234,0.476,0.244,0.281
Columbus Crew,11,DC United,7,1564.766,1348.199,216.567,0.598,0.185,0.218
Columbus Crew,11,Inter Miami CF,2,1564.766,1707.561,-142.795,0.299,0.297,0.404
Columbus Crew,11,New England Revolution,3,1564.766,1468.603,96.164,0.504,0.252,0.244
Columbus Crew,11,New York Red Bulls,7,1564.766,1471.216,93.551,0.511,0.234,0.254
Columbus Crew,11,Toronto FC,11,1564.766,1357.339,207.428,0.615,0.19,0.195
DC United,7,Atlanta United,15,1348.199,1383.219,-35.02,0.495,0.271,0.234
DC United,7,Charlotte FC,5,1348.199,1513.532,-165.333,0.358,0.29,0.351
DC United,7,Columbus Crew,11,1348.199,1564.766,-216.567,0.354,0.327,0.319
DC United,7,FC Cincinnati,7,1348.199,1555.362,-207.163,0.307,0.27,0.423
DC United,7,New England Revolution,3,1348.199,1468.603,-120.403,0.385,0.305,0.31
DC United,7,New York City FC,5,1348.199,1566.462,-218.263,0.332,0.305,0.363
DC United,7,New York Red Bulls,7,1348.199,1471.216,-123.016,0.392,0.284,0.324
FC Cincinnati,7,Charlotte FC,5,1555.362,1513.532,41.83,0.521,0.277,0.202
FC Cincinnati,7,Columbus Crew,11,1555.362,1564.766,-9.404,0.509,0.309,0.182
FC Cincinnati,7,DC United,7,1555.362,1348.199,207.163,0.64,0.206,0.154
FC Cincinnati,7,Nashville SC,1,1555.362,1597.977,-42.615,0.434,0.335,0.231
FC Cincinnati,7,New England Revolution,3,1555.362,1468.603,86.759,0.544,0.283,0.173
FC Cincinnati,7,New York City FC,5,1555.362,1566.462,-11.101,0.491,0.297,0.212
FC Cincinnati,7,Philadelphia Union,14,1555.362,1548.589,6.773,0.541,0.274,0.185
Inter Miami CF,2,Atlanta United,15,1707.561,1383.219,324.342,0.75,0.17,0.08
Inter Miami CF,2,CF Montréal,13,1707.561,1388.008,319.553,0.745,0.175,0.08
Inter Miami CF,2,Charlotte FC,5,1707.561,1513.532,194.029,0.643,0.216,0.142
Inter Miami CF,2,DC United,7,1707.561,1348.199,359.362,0.747,0.152,0.102
Inter Miami CF,2,FC Cincinnati,7,1707.561,1555.362,152.199,0.597,0.218,0.185
Inter Miami CF,2,Nashville SC,1,1707.561,1597.977,109.584,0.559,0.272,0.169
Inter Miami CF,2,New York City FC,5,1707.561,1566.462,141.099,0.615,0.234,0.151
Inter Miami CF,2,Toronto FC,11,1707.561,1357.339,350.223,0.757,0.153,0.089
Nashville SC,1,Chicago Fire,4,1597.977,1505.954,92.023,0.542,0.233,0.225
Nashville SC,1,Columbus Crew,11,1597.977,1564.766,33.211,0.547,0.257,0.196
Nashville SC,1,FC Cincinnati,7,1597.977,1555.362,42.615,0.501,0.225,0.274
Nashville SC,1,Inter Miami CF,2,1597.977,1707.561,-109.584,0.371,0.298,0.331
Nashville SC,1,New York Red Bulls,7,1597.977,1471.216,126.761,0.589,0.218,0.193
Nashville SC,1,Philadelphia Union,14,1597.977,1548.589,49.388,0.576,0.226,0.197
Nashville SC,1,Toronto FC,11,1597.977,1357.339,240.638,0.686,0.171,0.143
